company_id,first_purchase,last_purchase,frequency,monetary,recency,customer_age_days,n_products,Возврат,Новая,Продление,Расширение
comp_02f6a88552fc,2018-09-01,2020-12-26,2,21000,1021,1868,1,1,1,0,0
comp_030fd42c52d6,2021-01-19,2021-01-19,1,10000,997,997,1,0,1,0,0
comp_0312f1b7139d,2018-04-30,2023-04-28,10,394000,168,1992,4,0,1,18,0
comp_032551b9a907,2017-03-25,2022-01-11,9,112000,640,2393,1,1,1,6,0
comp_03435414514b,2021-01-18,2021-01-18,1,135000,998,998,2,0,2,0,0
comp_035d83ceb314,2019-06-28,2023-04-28,7,149000,168,1568,4,1,0,8,0
comp_03bdef7f1253,2015-09-21,2015-12-19,3,30000,2855,2944,1,0,1,0,0
comp_03c68b3e6173,2021-02-22,2022-08-05,3,126000,434,963,2,0,4,7,1
comp_03c968451d61,2018-04-20,2022-10-17,5,73000,361,2002,2,1,1,3,0
comp_03d639c362de,2016-10-15,2022-10-14,11,460000,364,2554,6,0,0,9,7
comp_03d7aef1b0c1,2014-08-29,2023-03-22,83,1406000,205,3332,2,0,1,43,2
comp_03f82530a674,2018-04-14,2022-11-25,11,200000,322,2008,3,1,1,11,3
comp_0447816763a3,2020-03-24,2020-03-24,1,22000,1298,1298,2,0,2,0,0
comp_0452319680d9,2020-12-22,2022-12-21,3,32000,296,1025,1,0,2,1,0
comp_05104753638a,2023-02-28,2023-02-28,1,30000,227,227,3,0,3,0,0
comp_0521b99d783a,2017-09-20,2021-01-16,27,391000,1000,2214,2,14,0,20,0
comp_053e3a20cec8,2018-03-20,2019-06-29,4,54000,1567,2033,1,2,2,1,0
comp_0544b1fa3795,2014-11-16,2018-02-24,5,62000,2057,3253,3,0,1,0,0
comp_05bd89f0ba32,2018-02-10,2019-02-11,3,34000,1705,2071,2,0,1,2,0
comp_05f958238d18,2017-12-19,2021-07-20,6,210000,815,2124,5,1,0,6,0
comp_0604ce2dfa41,2020-04-20,2020-04-20,1,14000,1271,1271,1,0,1,0,0
comp_0604e0e7fc2f,2016-02-10,2016-09-10,2,22000,2589,2802,1,0,1,0,0
comp_06196c65dd6d,2017-10-28,2023-09-30,22,686000,13,2176,8,1,1,31,5
comp_062812c8e776,2019-07-30,2022-11-01,7,145000,346,1536,3,0,1,5,1
comp_063498a5182a,2022-09-23,2022-09-23,1,31000,385,385,3,0,3,0,0
comp_06970bb9cdf9,2022-07-07,2023-02-17,8,80000,238,463,1,0,1,0,7
comp_06d6df83b899,2022-12-27,2022-12-27,1,72000,290,290,2,0,3,0,0
comp_06fe16445978,2020-10-11,2020-10-11,1,30000,1097,1097,2,0,2,0,0
comp_0700b815852e,2018-05-13,2018-05-13,1,10000,1979,1979,1,0,1,0,0
comp_070f8e5067bc,2020-03-31,2023-03-13,11,138000,214,1291,3,2,3,6,1
comp_07155c7a826e,2022-01-24,2023-02-24,2,21000,231,627,1,0,1,1,0
comp_0721d7a4a10c,2022-09-19,2022-09-19,1,30000,389,389,3,0,3,0,0
comp_072878f5b361,2018-04-15,2019-04-12,5,57000,1645,2007,3,0,1,4,0
comp_073b54a01297,2015-05-10,2016-04-10,4,40000,2742,3078,1,,,,
comp_078b5ad16b0a,2018-04-30,2018-05-05,1,22000,1987,1992,2,0,2,0,0
comp_07a23e6aca81,2022-06-07,2022-06-07,1,32000,493,493,3,0,3,0,0
comp_07ca948d9694,2014-08-24,2020-05-19,7,81000,1242,3337,3,1,0,0,0
comp_07d7bdda56af,2019-02-16,2020-02-11,2,36000,1340,1700,1,0,1,1,0
comp_0820da2e3b42,2015-01-31,2016-06-05,3,42000,2686,3177,1,0,1,0,0
comp_0837c651a526,2015-06-20,2022-04-19,10,174000,542,3037,3,6,1,6,2
comp_08792d37acdc,2017-04-01,2023-07-30,13,303000,75,2386,5,0,1,9,3
comp_087a513660a0,2021-03-06,2021-03-06,1,10000,951,951,1,0,1,0,0
comp_08861bd14e1f,2018-05-28,2022-11-28,8,93000,319,1964,2,0,1,7,0
comp_08a10b973971,2019-07-08,2023-07-10,5,123000,95,1558,3,0,3,3,2
comp_08d10710c027,2020-12-30,2023-09-24,6,102000,19,1017,3,0,1,3,2
comp_08e54c9d964b,2018-06-03,2022-09-03,6,164000,405,1958,3,0,1,11,0
comp_08fae2ebf156,2021-10-06,2021-10-06,1,20000,737,737,1,0,2,0,0
comp_09011d9f9594,2021-03-06,2021-04-06,2,22000,920,951,1,0,1,1,0
comp_090f5865ad91,2020-11-26,2021-10-16,5,72000,727,1051,2,0,4,3,0
comp_094abbad291a,2022-04-11,2022-04-11,1,10000,550,550,1,0,1,0,0
comp_0978c17ef837,2020-12-09,2020-12-09,1,10000,1038,1038,1,0,1,0,0
comp_09e2ffb64e52,2020-12-28,2022-12-28,3,87000,289,1019,2,0,3,4,0
comp_09e4cad733a0,2021-04-26,2021-04-26,3,30000,900,900,1,0,1,2,0
comp_09e8d1774c6b,2018-04-06,2023-09-08,16,1283000,35,2016,6,1,4,30,4
comp_09f3e26261ff,2018-10-23,2021-01-24,3,95000,992,1816,3,0,2,3,0
comp_0a02febb369f,2014-09-02,2023-03-18,37,440000,209,3328,5,5,1,7,1
comp_0a06ba459d05,2015-06-02,2023-05-30,11,403000,136,3055,4,0,1,21,0
comp_0a237c8508ce,2023-05-26,2023-05-26,1,16000,140,140,1,0,1,0,0
comp_0a261364d50c,2016-12-10,2023-07-17,18,466000,88,2498,5,0,1,21,2
comp_0a26e4c3b008,2017-01-15,2023-01-10,8,87000,276,2462,2,3,2,0,0
comp_0a4f7781f4b8,2022-07-05,2022-07-05,1,13000,465,465,1,0,1,0,0
comp_0a51f160e10a,2016-04-01,2017-04-25,3,43000,2362,2751,2,0,1,0,0
comp_0a975bc0b4cb,2021-12-05,2023-09-02,16,193000,41,677,3,2,1,6,8
comp_0a991517bd58,2022-10-28,2023-04-21,3,93000,175,350,2,0,9,0,0
comp_0aa5945078c3,2017-10-07,2023-03-31,9,369000,196,2197,4,2,2,15,1
comp_0abd1e0eb9ab,2019-06-18,2021-06-18,3,55000,847,1578,2,0,1,3,0
comp_0ad616b594a7,2023-05-26,2023-05-26,1,11000,140,140,1,0,1,0,0
comp_0af0f51df808,2020-03-30,2023-04-04,7,92000,192,1292,3,0,3,1,3
comp_0af629134810,2020-04-26,2022-02-12,3,80000,608,1265,2,0,2,4,0
comp_0b0deadb1a06,2022-04-22,2022-10-28,2,40000,350,539,2,0,1,1,0
comp_0b2e9b988889,2022-12-27,2022-12-27,1,53000,290,290,2,0,2,0,0
comp_0b40a8980ec2,2022-04-01,2022-04-01,1,24000,560,560,2,0,2,0,0
comp_0b46c3de9fc2,2021-12-26,2022-12-26,2,38000,291,656,2,0,1,2,0
comp_0b78959478c2,2016-06-27,2023-03-19,17,357000,208,2664,5,4,2,10,0
comp_0b85ddd8b62c,2015-06-23,2018-11-02,18,224000,1806,3034,2,1,1,8,0
comp_0b8a37372dea,2020-08-01,2020-08-01,1,25000,1168,1168,2,0,2,0,0
comp_0bc1ef146e9c,2020-07-04,2023-01-20,4,60000,266,1196,2,0,2,3,0
comp_0bc28a45c737,2019-03-12,2019-03-12,2,20000,1676,1676,1,0,1,1,0
comp_0bdf7eb2872b,2019-02-01,2022-04-17,3,115000,544,1715,2,3,4,3,0
comp_0bef331e580f,2019-11-22,2023-01-21,4,45000,265,1421,2,0,1,3,0
comp_0bf1e0b1c9b6,2020-11-22,2020-11-22,1,10000,1055,1055,1,0,1,0,0
comp_0c072ec14961,2022-06-17,2022-06-17,1,29000,483,483,2,0,2,0,0
comp_0c0b6dfb786b,2022-02-26,2023-02-26,2,46000,229,594,1,0,1,1,0
comp_0c0c3381b9e5,2022-03-29,2022-04-29,2,48000,532,563,2,0,4,0,0
comp_0c5ec037fd0e,2020-09-01,2023-07-03,5,250000,102,1137,4,0,1,16,1
comp_0c77899db3c1,2018-07-28,2023-02-07,7,165000,248,1903,4,1,2,8,0
comp_0c7acf25bac5,2014-10-19,2022-04-27,14,188000,534,3281,3,0,1,8,0
comp_0c7f99f85621,2015-01-28,2015-01-28,1,10000,3180,3180,1,0,1,0,0
comp_0c9c3cabc3cd,2022-12-16,2022-12-16,1,23000,301,301,1,0,1,0,0
comp_0c9d0ec52d75,2022-11-25,2022-11-25,1,11000,322,322,1,0,1,0,0
comp_0ca91389ae8f,2023-04-01,2023-04-01,1,31000,195,195,3,0,3,0,0
comp_0cabbe8ce4fa,2018-10-22,2022-12-27,12,503000,290,1817,5,0,2,40,0
comp_0cfbb6b10eba,2020-05-24,2022-06-28,4,43000,472,1237,1,0,2,2,0
comp_0cfcabbd3c17,2018-04-13,2018-05-13,3,90000,1979,2009,2,0,2,7,0
comp_0d2ed9346d02,2017-05-23,2023-09-18,41,423000,25,2334,3,1,2,4,16
comp_0d6635e556c7,2018-04-01,2023-02-11,8,864000,244,2021,2,0,1,28,6
comp_0d9e9820567e,2016-02-01,2023-01-09,11,161000,277,2811,3,1,3,3,0
comp_0dd894d6147c,2020-07-26,2022-08-26,7,141000,413,1174,2,0,3,7,1
comp_0dde1b1047ae,2019-09-20,2022-11-26,4,54000,321,1484,2,0,1,3,0
comp_0de61d6606b8,2019-06-07,2020-06-07,2,86000,1223,1589,2,0,3,3,0
comp_0e0cb6801858,2014-10-01,2021-12-03,9,111000,679,3299,3,1,1,0,0
comp_0e120fc6effc,2021-09-11,2022-03-18,4,41000,574,762,2,0,1,0,3
comp_0e1e5f278121,2018-03-18,2020-08-25,11,122000,1144,2035,1,4,1,6,0
comp_0e2a74cddc44,2020-06-01,2022-06-01,3,33000,499,1229,1,0,1,2,0
comp_0e8585519ea4,2022-08-01,2022-12-09,2,40000,308,438,4,0,3,0,1
comp_0e8ababb7aa9,2020-04-22,2020-04-22,1,10000,1269,1269,1,0,1,0,0
comp_0edbe06d23eb,2017-07-17,2019-10-18,3,59000,1456,2279,2,0,0,2,0
comp_0f256f7d40a7,2019-04-01,2020-07-20,4,53000,1180,1656,2,1,2,2,0
comp_0f70fc652cc2,2021-09-21,2023-07-08,15,377000,97,752,2,0,2,30,5
comp_0f82388de5ba,2015-09-01,2017-06-15,4,48000,2311,2964,3,,,,
comp_0f896f989974,2014-11-23,2021-05-11,13,228000,885,3246,7,5,1,9,0
comp_0fb27d232664,2023-01-13,2023-01-13,1,11000,273,273,1,0,1,0,0
comp_0fbbcb3609c3,2020-08-05,2020-08-05,1,10000,1164,1164,1,0,1,0,0
comp_0fd1c088d215,2022-05-07,2022-07-06,3,30000,464,524,1,0,1,1,1
comp_0fdd0dd8279a,2021-10-03,2023-04-03,3,52000,193,740,4,1,4,0,0
comp_1044e05f7852,2018-07-29,2022-10-07,5,97000,371,1902,3,1,4,2,0
comp_105cc5a23c41,2020-03-31,2021-04-24,2,22000,902,1291,1,0,1,1,0
comp_105cf716c8db,2022-12-26,2022-12-26,1,47000,291,291,3,0,3,0,0
comp_106d8f68eaca,2023-03-31,2023-03-31,1,33000,196,196,3,0,3,0,0
comp_107b985951f4,2022-12-26,2022-12-26,1,17000,291,291,1,0,1,0,0
comp_107bcf5f9a4d,2022-09-16,2022-09-16,1,10000,392,392,1,0,1,0,0
comp_1091a5b3caa1,2020-05-11,2023-04-25,3,33000,171,1250,1,0,1,1,1
comp_10e6e6d993b3,2020-12-16,2022-08-14,5,156000,425,1031,2,0,4,7,4
comp_10ef6ce766c6,2019-11-22,2023-10-05,10,124000,8,1421,3,1,2,3,6
comp_10ffe94a0a5e,2020-09-12,2021-09-12,2,22000,761,1126,1,0,1,1,0
comp_1100ff40f3e9,2014-11-30,2015-12-01,2,35000,2873,3239,2,,,,
comp_110502b04d27,2021-09-29,2021-11-29,3,43000,683,744,2,0,1,2,0
comp_113644643fe5,2022-11-11,2022-12-20,3,107000,297,336,3,0,2,0,1
comp_1157caa9938d,2016-05-14,2022-06-27,7,87000,473,2708,1,0,1,4,0
comp_116af9b8b605,2022-11-15,2022-11-15,1,16000,332,332,1,0,1,0,0
comp_11703305ee72,2015-01-31,2022-03-31,20,244000,561,3177,2,1,1,8,5
comp_11ed722b3b85,2020-04-25,2020-04-25,1,12000,1266,1266,1,0,1,0,0
comp_11f8ab5d97f4,2018-09-17,2018-09-17,1,11000,1852,1852,1,0,1,0,0
comp_121688a8c3df,2020-05-18,2023-06-25,11,110000,110,1243,1,1,0,5,5
comp_1283cd735db1,2022-05-27,2023-05-31,3,61000,135,504,5,0,5,1,0
comp_1288564a52ec,2020-11-23,2022-12-23,4,72000,294,1054,2,0,1,3,1
comp_12a8507dc079,2020-09-08,2022-12-17,5,50000,300,1130,1,1,1,1,2
comp_130baa340976,2018-04-06,2023-04-21,10,203000,175,2016,3,2,1,10,1
comp_13127df3a16a,2018-11-11,2018-11-11,1,11000,1797,1797,1,0,1,0,0
comp_13143767b017,2022-04-26,2022-12-04,3,30000,313,535,1,0,1,0,2
comp_1345de2210fd,2023-04-09,2023-04-09,1,24000,187,187,1,0,1,0,0
comp_136d15526613,2020-06-15,2021-07-17,3,32000,818,1215,1,0,1,2,0
comp_1384aef90688,2018-06-28,2019-10-26,2,28000,1448,1933,2,1,1,0,0
comp_1385c0da83c4,2023-03-31,2023-03-31,1,31000,196,196,1,0,1,0,0
comp_138a2a5d1904,2016-03-01,2023-08-29,7,928000,45,2782,7,3,1,15,1
comp_138f4ccd6086,2015-06-09,2022-12-17,24,467000,300,3048,2,0,0,7,0
comp_13b8a2c2a7f2,2020-11-21,2020-11-21,1,16000,1056,1056,1,0,1,0,0
comp_1415fd049367,2020-07-13,2020-12-01,5,63000,1046,1187,2,1,1,4,0
comp_141dac1ed456,2020-11-30,2020-11-30,1,30000,1047,1047,1,0,3,0,0
comp_144e3b635de5,2019-11-08,2021-11-08,3,38000,704,1435,2,0,1,2,0
comp_1460e079fbb2,2022-10-15,2022-10-15,1,10000,363,363,1,0,1,0,0
comp_146474d8c08a,2021-05-19,2023-05-24,3,50000,142,877,1,0,1,2,0
comp_1483fb217266,2021-10-31,2023-08-04,5,70000,70,712,2,0,4,3,0
comp_14b2f7ef03fb,2022-04-18,2022-04-18,1,10000,543,543,1,0,1,0,0
comp_14cda869e8cc,2014-12-13,2018-05-27,20,422000,1965,3226,2,1,1,21,0
comp_14d63d5bd9a0,2022-07-05,2023-06-10,3,34000,125,465,2,1,1,0,1
comp_14db78e098d8,2020-03-30,2022-03-30,3,184000,562,1292,3,0,2,8,0
comp_155fceddc362,2017-10-31,2020-12-01,5,59000,1046,2173,2,0,0,4,0
comp_1586b96985a8,2022-08-16,2023-09-10,2,34000,33,423,1,0,1,1,0
comp_15a342ef8b8b,2018-03-20,2018-09-10,5,56000,1859,2033,2,0,1,4,0
comp_15dd9030073d,2014-08-31,2014-08-31,1,10000,3330,3330,1,,,,
comp_15e2737e39c7,2017-02-15,2023-09-23,4,243000,20,2431,3,0,6,3,0
comp_15ead83d6545,2023-02-21,2023-06-30,3,32000,105,234,1,0,1,2,0
comp_161d55422302,2020-03-16,2022-03-16,4,130000,576,1306,3,0,1,7,0
comp_1627c9fe8ee3,2018-11-18,2018-11-18,1,11000,1790,1790,1,0,1,0,0
comp_16341aa6dc39,2022-01-31,2023-01-31,2,38000,255,620,1,0,1,1,0
comp_1667006c1a6a,2021-08-17,2021-09-17,2,22000,756,787,1,0,1,1,0
comp_16c282e4b2eb,2021-11-27,2023-03-31,3,34000,196,685,1,0,3,0,0
comp_16e6c5616d71,2021-04-07,2021-04-11,2,21000,915,919,2,0,1,0,1
comp_16eb2b37041c,2020-02-21,2020-03-02,2,100000,1320,1330,2,0,3,7,0
comp_1787cca485fa,2020-08-31,2021-09-20,7,77000,753,1138,1,1,1,5,0
comp_178d7959eea2,2021-09-07,2021-09-07,1,10000,766,766,1,0,1,0,0
comp_17cc71c58500,2016-11-06,2022-12-19,5,53000,298,2532,1,1,1,2,1
comp_17d004823238,2018-04-17,2023-07-18,6,153000,87,2005,3,0,4,6,0
comp_17d261bf5928,2016-03-26,2021-04-19,3,48000,907,2757,2,1,0,1,0
comp_17d8c584d70d,2021-04-07,2021-10-07,2,46000,736,919,2,0,2,2,0
comp_17e1b3ce3786,2021-12-25,2021-12-25,1,21000,657,657,1,0,1,0,0
comp_180e5e759ffc,2017-07-08,2020-09-16,4,66000,1122,2288,2,0,1,2,0
comp_1812221eabea,2020-10-16,2021-12-25,2,22000,657,1092,1,1,1,0,0
comp_18333dc1b788,2015-07-18,2020-10-14,5,53000,1094,3009,1,0,1,1,0
comp_18459acf36f9,2016-01-11,2023-09-03,32,337000,40,2832,1,3,1,16,8
comp_185d44a74b54,2018-04-14,2019-05-14,3,41000,1613,2008,1,0,1,2,0
comp_18706992276c,2021-11-03,2022-03-14,4,40000,578,709,1,0,2,0,2
comp_188ff1c8d2e9,2018-04-10,2018-11-12,3,33000,1796,2012,1,1,1,1,0
comp_18ad1de4adbb,2018-04-03,2018-04-03,1,460000,2019,2019,2,0,46,0,0
comp_19098a41d370,2018-11-30,2021-01-25,3,48000,991,1778,1,0,1,2,0
comp_191ec0f12d04,2021-02-08,2021-02-08,1,10000,977,977,1,0,1,0,0
comp_194c19ebf1c8,2020-04-12,2020-04-12,1,80000,1279,1279,2,0,3,0,0
comp_19551fb7cac7,2016-03-26,2018-08-06,5,64000,1894,2757,2,0,0,2,0
comp_19584bc35c0e,2015-12-07,2016-12-08,2,36000,2500,2867,1,0,1,0,0
comp_1965b87d9bbe,2023-03-14,2023-03-14,1,42000,213,213,2,0,2,0,0
comp_19736c9d27a8,2014-03-21,2022-02-19,9,110000,601,3493,2,1,1,1,0
comp_1982aeabbdf5,2018-11-03,2023-05-01,5,193000,165,1805,4,6,2,6,0
comp_198b627ef696,2021-12-19,2022-12-20,2,42000,297,663,1,0,1,1,0
comp_19a3824000b3,2018-09-01,2018-09-01,1,12000,1868,1868,1,0,1,0,0
comp_19d3b81c0ee4,2020-04-14,2023-06-11,11,777000,124,1277,3,0,2,36,3
comp_19ef58b1e3e3,2023-04-06,2023-07-07,2,20000,98,190,1,0,1,0,1
comp_1a3bb4e5ecc3,2015-07-10,2021-11-01,3,112000,711,3017,3,3,0,3,0
comp_1a5cbb6df828,2018-04-27,2023-02-12,4,41000,243,1995,3,0,0,2,2
comp_1a60e55e7869,2021-12-27,2023-08-13,3,58000,61,655,2,0,1,1,2
comp_1a685c8397e3,2018-04-15,2023-04-25,6,117000,171,2007,3,0,1,5,0
comp_1a7355926225,2019-03-24,2023-09-01,10,149000,42,1664,2,2,2,3,7
comp_1a8e0b9424e2,2022-10-07,2023-10-07,2,62000,6,371,2,0,2,1,0
comp_1a92a53b4f22,2023-05-07,2023-05-07,1,11000,159,159,1,0,1,0,0
comp_1aa430360488,2018-09-25,2020-04-26,4,260000,1265,1844,3,0,1,6,0
comp_1acf50b1c1a4,2020-07-14,2020-07-14,1,18000,1186,1186,1,0,1,0,0
comp_1b11a2046b26,2017-04-15,2019-07-14,3,49000,1552,2372,2,2,1,0,0
comp_1b45ebac8548,2020-06-08,2023-03-04,4,69000,223,1222,1,0,1,3,0
comp_1b76c9855c35,2017-06-18,2021-12-27,2,245000,655,2308,3,5,0,0,0
comp_1b8a66b93906,2014-09-28,2022-11-28,11,208000,319,3302,4,0,2,6,0
comp_1b93d2f175bf,2015-11-22,2023-08-12,27,414000,62,2882,2,8,1,21,4
comp_1ba2c60aa6fc,2019-11-01,2021-02-22,2,31000,963,1442,2,0,2,1,0
comp_1bc6af743f5b,2018-03-26,2020-08-15,3,86000,1154,2027,3,3,1,3,0
comp_1bdb828c79e7,2017-05-29,2022-09-16,6,154000,392,2328,3,1,1,6,0
comp_1be17c6b7102,2015-11-21,2015-11-21,1,21000,2883,2883,2,0,2,0,0
comp_1befedb67f9d,2014-08-17,2015-08-17,9,109000,2979,3344,2,0,2,0,0
comp_1bf4ba570911,2023-01-23,2023-08-13,3,39000,61,263,2,1,1,1,0
comp_1c08a13dff68,2015-11-15,2022-02-22,9,255000,598,2889,5,2,0,5,4
comp_1c347838cff8,2021-04-07,2021-06-16,3,31000,849,919,1,0,1,2,0
comp_1c491cc189b3,2015-10-04,2015-10-04,1,11000,2931,2931,1,0,1,0,0
comp_1c54b905617e,2014-12-20,2018-05-14,14,140000,1978,3219,2,1,0,1,0
comp_1c7ad8acd36b,2020-07-04,2022-07-04,3,52000,466,1196,4,0,1,4,0
comp_1c90c0182a88,2015-09-19,2015-09-19,1,10000,2946,2946,1,,,,
comp_1cd75cbc3843,2016-02-27,2023-03-21,48,764000,206,2785,2,0,2,8,0
comp_1cdace381382,2020-09-05,2021-03-05,3,105000,952,1133,2,0,2,8,0
comp_1ce1b5f57073,2015-10-04,2022-02-09,3,68000,611,2931,3,2,0,2,0
comp_1ce4279b9f0b,2020-04-14,2020-12-22,2,75000,1025,1277,3,2,5,0,0
comp_1d17d7f6e8f7,2021-08-21,2022-10-21,3,32000,357,783,1,0,1,2,0
comp_1d28467b6905,2019-04-23,2019-04-23,1,12000,1634,1634,1,0,1,0,0
comp_1d9ef7415ac2,2020-09-15,2023-01-29,4,57000,257,1123,1,0,3,1,0
comp_1defc0090dab,2022-07-04,2022-07-04,1,30000,466,466,3,0,3,0,0
comp_1e3c641a716f,2023-01-16,2023-01-16,1,136000,270,270,2,0,4,0,0
comp_1e4d55144a7e,2020-02-21,2020-02-21,1,11000,1330,1330,1,0,1,0,0
comp_1e63a03f2bd6,2020-06-17,2022-11-01,4,73000,346,1213,5,0,0,7,0
comp_1e8651fbba55,2023-02-01,2023-02-01,1,30000,254,254,3,0,3,0,0
comp_1e865ed63b41,2015-01-30,2022-06-13,10,155000,487,3178,3,0,1,6,0
comp_1e8c0f0ab24c,2014-11-15,2023-03-20,13,228000,207,3254,2,4,1,14,0
comp_1ef1af9b0f0c,2021-10-20,2023-07-11,3,108000,94,723,3,0,2,4,0
comp_1efb0a7b7f32,2022-09-05,2022-09-05,1,30000,403,403,3,0,3,0,0
comp_1efe8c8f21ce,2018-03-03,2020-05-30,8,102000,1231,2050,2,2,1,7,0
comp_1f1d80b35b3f,2020-12-14,2020-12-14,1,11000,1033,1033,1,0,1,0,0
comp_1f3aa2a76d5e,2021-11-07,2021-11-15,2,21000,697,705,1,0,1,1,0
comp_1f6ba3ac4682,2016-02-08,2023-08-27,56,816000,47,2804,2,0,2,45,14
comp_1f87cfc315f0,2019-09-01,2023-08-30,5,75000,44,1503,1,0,1,4,0
comp_1f8e986dfb8a,2022-05-07,2022-05-07,1,12000,524,524,1,0,1,0,0
comp_1f9d1c7cbc4c,2021-09-29,2021-09-29,1,10000,744,744,1,0,1,0,0
comp_1fb790d9e694,2022-09-20,2022-09-20,1,30000,388,388,3,0,3,0,0
comp_1fc94861dbf4,2020-06-30,2022-07-30,3,309000,440,1200,2,0,2,4,0
comp_2006b3c787ff,2020-08-22,2022-08-21,3,52000,418,1147,4,0,1,4,0
comp_200892e895a6,2018-04-27,2019-04-27,2,38000,1630,1995,1,0,1,1,0
comp_200f3db4eac9,2017-09-23,2020-02-13,6,88000,1338,2211,2,0,2,3,0
comp_2056d7c6e5ce,2020-04-18,2020-05-20,2,26000,1241,1273,2,0,1,1,0
comp_2060cc8a6697,2022-05-14,2022-05-14,1,20000,517,517,2,0,2,0,0
comp_2082c8501dc6,2021-03-24,2022-03-24,2,22000,568,933,1,0,1,1,0
comp_2084b3f971e2,2022-09-30,2023-09-30,2,158000,13,378,2,0,4,5,0
comp_208e89cc8562,2014-10-08,2015-04-15,8,87000,3103,3292,2,0,1,0,0
comp_209adfe2634a,2015-04-05,2018-04-05,4,47000,2017,3113,1,0,1,0,0
comp_20b2bafdb60d,2015-01-15,2021-12-25,6,276000,657,3193,5,4,0,9,0
comp_20f9c3aafaf8,2021-03-10,2021-09-11,2,20000,762,947,1,1,1,0,0
comp_214927b538cf,2016-09-19,2023-01-21,10,238000,265,2580,4,0,4,8,1
comp_2151a8e06165,2023-03-21,2023-03-21,1,10000,206,206,1,0,1,0,0
comp_215edc889773,2019-06-30,2023-07-29,10,136000,76,1566,2,0,2,5,4
comp_21693edc7e6b,2021-11-03,2023-03-21,4,74000,206,709,4,0,5,0,1
comp_21d7d3202550,2020-09-01,2023-09-19,6,216000,24,1137,3,0,1,13,0
comp_21d7eb9a6ad8,2021-08-28,2023-09-30,3,49000,13,776,3,0,3,1,0
comp_21e8022d66e1,2020-04-14,2023-03-20,5,197000,207,1277,3,2,2,7,0
comp_21fb3a7edcbb,2018-10-01,2023-02-15,5,73000,240,1838,3,1,1,4,0
comp_22342b07ffd6,2021-04-18,2021-04-18,1,10000,908,908,1,0,1,0,0
comp_224325cc8a17,2014-09-06,2021-12-25,11,149000,657,3324,2,3,1,3,3
comp_22547e79565b,2019-09-07,2023-08-29,7,470000,45,1497,3,1,0,6,1
comp_2261198975b3,2023-04-14,2023-04-14,1,45000,182,182,4,0,4,0,0
comp_22627629cb36,2020-12-16,2020-12-16,2,68000,1031,1031,2,0,2,0,0
comp_22831e373b68,2015-08-10,2023-09-25,13,219000,18,2986,3,0,0,8,1
comp_22a3185a0c0a,2016-02-01,2023-05-13,18,498000,153,2811,3,0,1,22,0
comp_22a516bd5fa2,2018-09-02,2022-12-12,11,1519000,305,1867,7,4,12,38,5
comp_22d03529fa6f,2016-03-29,2023-09-29,7,360000,14,2754,3,6,2,11,0
comp_22db4286c532,2016-01-13,2020-03-24,4,54000,1298,2830,2,1,1,0,0
comp_22ea19a32697,2019-08-01,2019-08-01,1,22000,1534,1534,2,0,2,0,0
comp_23008b95884e,2022-06-24,2023-09-01,2,371000,42,476,3,0,6,7,0
